項目,名前,ひらがな
メス,ANTIGONE,アンチゴ－ネ
メス,ANTOINETTE,アントワネット
メス,ANTONIA,アントニア
メス,APHRODITE,アフロディ－テ
メス,APIS,アピス
メス,APPLE,アップル
メス,APPLIQUE,アップリケ
メス,APRICOT,アプリコット
メス,APRIES,アプリエス
メス,AQUAMARINE,アクアマリン
メス,ARABELLE,アラベル
メス,ARABESQUE,アラベスク
メス,ARCADIA,アルカディア
メス,ARCE,アルセ
メス,AREA,エリア
メス,ARIADONE,アリアドネ
メス,ARISA,アリサ
メス,ARIUS,アリウス
メス,ARJUNA,アルジュナ
メス,ARLE,アルル
メス,ARLETTE,アルレット
メス,ARLETTY,アルレッティ
メス,ARLIN,ア－リン
メス,ARMENIA,アルメニア
メス,ARNA,アルナ
メス,ARNGARD,アルンガ－ト
メス,ARNHILD,アルンヒルト
メス,ARNICA,アルニカ
メス,AROMA,アロ－マ
メス,ARRIA,アリ－ア
メス,ARTEMIS,アルテミス
メス,ASHLEY,アシュレ－
メス,ASIA,アジア
メス,ASLANG,アスラング
メス,ASPASIA,アスパジア
メス,ASPHODEL,アスファデル
メス,ASRID,アスリト
メス,ASTAIRE,アステア
メス,ASTER,アスタ－
メス,ASTREA,アストリ－ア
メス,ASTRID,アストリッド
メス,ATE,エイティ
メス,ATELIER,アトリエ
メス,ATHENA,アテナ
メス,ATLANTA,アトランタ
メス,ATOMIZER,アトマイザ－
メス,ATROPOS,アトロ－ポス
メス,AUDREY,オ－ドリ－
メス,AURORA,オ－ロラ
メス,AUSTEN,オ－スティン
メス,AUTHORESS,オ－ソリス
メス,AVIATRIX,アビアトリックス
メス,AYAH,アイア
メス,AZALEA,アザリア
オス,BAAL,バ－ル
オス,BABBITT,バビット
オス,BABE,ベイブ
オス,BALD,バルド
オス,BABYLON,バビロン
オス,BACCHUS,バッカス
オス,BACH,バッハ
オス,BACHELOR,バチュラ－
オス,BACKEN,バッケン
オス,BACKLE,バックル
オス,BACON,ベ－コン
オス,BADGE,バッジ
オス,BADGER,バッジャ－
オス,BADO,バド
オス,BAFFY,バッフィ－
オス,BATON,バトン
オス,BAGPIPER,バグパイパ－
オス,BAIKAL,バイカル
オス,BAILEE,ベイリ－
オス,BAILER,ベイラ－
オス,BAILIFF,ベイリフ
オス,BAKELAND,ベ－クランド
オス,BAKER,ベ－カ－
オス,BALAAM,ベイラム
オス,BALANCER,バランサ－
オス,BALBOA,バルボア
オス,BALDUR,バルド－ル
オス,BALDWIN,バルドウィン
オス,BALENTS,バレンツ
オス,BALLADE,バラ－ド
オス,BALLOT,バロット
オス,BALMER,バルマ－
オス,BALMUNG,バルムング
オス,BALSAM,バルサム
オス,BALTFRID,バルトフリット
オス,BALTRAM,バルトラム
オス,BALZAC,バルザック
オス,BANG,バンク
オス,BANKER,バンカ－
オス,BANNER,バナ－
オス,BAHAMA,バハマ
オス,BANTAM,バンタム
オス,BAPTIST,バプティスト
オス,BARABBAS,バラバス
オス,BARANTO,バラント
オス,BARBARIAN,バ－バリアン
オス,BARBER,バ－バ－
オス,BARBETTE,バ－ベット
オス,BARBICAN,バ－ビカン
オス,BARCLAY,バ－クレ－
オス,BARDO,バルド
オス,BARGAINER,バ－ゲイナ－
オス,BARGEMAN,バ－ジマン
オス,BARK,バ－ク
オス,BARKEEPER,バ－キ－パ－
オス,BARKLA,バ－クラ
オス,BARON,バロン
オス,BARONET,バロニト
オス,BARONIAL,バロニアル
オス,BARONY,バロニィ
オス,BARRIOS,バリオス
オス,BARRISTER,バリスタ－
オス,BARROS,バロス
オス,BART,バ－ト
オス,BARTENDER,バ－テンダ－
オス,BARTHOLOMEW,バ－ソロミュ－
オス,BASALT,バサルト
オス,BASIC,ベ－シック
オス,BASIS,ベイシス
オス,BASKET,バスケット
オス,BASS,バス
オス,BATHER,ベイサ－
オス,BATMAN,バットマン
オス,BATTER,バッタ－
オス,BATTLE,バトル
オス,BATWIN,バトウィン
オス,BAUER,バウアル
オス,BAUMKUCHEN,バウムク－ヘン
オス,BAYARD,ベイア－ト
オス,BAYTREE,ベイトリ－
オス,BAZZ,バズ
オス,BEACON,ビ－コン
オス,BEAD,ビ－ド
オス,BEADLE,ビ－ドル
オス,BEAM,ビ－ム
オス,BEARBROOK,ベアブルック
オス,BEARD,ベア－ド
オス,BEARER,ビアラ－
オス,BEAST,ビ－スト
オス,BEATER,ビ－タ－
オス,BEAU,ボウ
オス,BEAVER,ビ－バ－
オス,BECK,ベック
オス,BECKETT,ベケット
オス,BEE,ビ－
オス,BUYER,バイヤ－
オス,BUTLER,バトラ－
オス,BEER,ビア
オス,BEET,ビ－ト
オス,BEETHOVEN,ベイト－ベン
オス,BEETLE,ビ－トル
オス,BEGINNER,ビギナ－
オス,BOGGY,ボギ－
オス,BELIEVER,ビリ－バ－
オス,BYRON,バイロン
オス,BUSTER,バスタ－
オス,BUSKER,バスカ－
オス,BELLOC,ベロック
オス,BELMOND,ベルモンド
オス,BELVEDERE,ベルビディア
オス,BEN,ベン
オス,BENEDICT,ベネディクト
オス,BENETTON,ベネトン
オス,BENGAL,ベンガル
オス,BENIFACTOR,ベニファクタ－
オス,BENJAMIN,ベンジャミン
オス,BENNET,ベネット
オス,BENNO,ベンノ
オス,BENSON,ベンソン
オス,BENTLEY,ベントレ－
オス,BENZ,ベンツ
オス,BUSH,ブッシュ
オス,BERENGER,ベレンジャ－
オス,BERENSON,ベレンソン
オス,BERG,ベルク
オス,BERGSON,ベルグソン
オス,BERNARD,ベルナ－ト
オス,BERNHARD,ベルンハ－ト
オス,BERNO,ベルノ
オス,BEROLD,ベロルド
オス,BERT,ベルト
オス,BERTIE,バ－ティ
オス,BERTLAND,バ－トランド
オス,BERTRAM,バ－トラム
オス,BERTWIN,ベルトウィン
オス,BETELGEUSE,ビ－トルジュ－ス
オス,BEYER,バイエル
オス,BIBBER,ビバ－
オス,BIBLIST,ビブリスト
オス,BICHON,ビション
オス,BIDDER,ビダ－
オス,BIFROST,ビフロスト
オス,BIKE,バイク
オス,BILEAM,ビ－リ－ム
オス,BILL,ビル
オス,BILLIKEN,ビリケン
オス,BILLIONAIRE,ビリオネア
オス,BURTON,バートン
オス,BILLOW,ビロウ
オス,BILLY,ビリ－
オス,BINGHAM,ビンガム
オス,BINGO,ビンゴ
オス,BINYON,ビニョン
オス,BIOLOGIST,バイオロジスト
オス,BIRD,バ－ド
オス,BISCUIT,ビスケット
オス,BISHOP,ビシヨップ
オス,BISMARCK,ビスマ－ク
オス,BISMILLAR,ビスミラ－
オス,BITER,バイタ－
オス,BLACKY,ブラッキ－
オス,BLADE,ブレイド
オス,BLAKE,ブレ－ク
オス,BLANCH,ブランチ
オス,BLASCO,ブラスコ
オス,BLASIUS,ブラジウス
オス,BLAZE,ブレイズ
オス,BLINDER,ブラインダ－
オス,BLINKY,ブリンキ－
オス,BLIZZARD,ブリザ－ド
オス,BLOWHARD,ブロウハ－ド
オス,BLUEBIRD,ブル－バ－ド
オス,BURN,バ－ン
オス,BLUEPETER,ブル－ピ－タ－
オス,BLUNDERER,ブランダラ－
オス,BLYDEN,ブライデン
オス,BOANERGES,ボアナ－ジス
オス,BOARDER,ボ－ダ－
オス,BURNS,バーンズ
オス,BOB,ボブ
オス,BOBBIN,ボビン
オス,BOBBY,ボビィ
オス,BODO,ボド
オス,BUNSEN,ブンセン
オス,BOGART,ボガ－ト
オス,BOHEMIAN,ボヘミアン
オス,BOHR,ボウア
オス,BOLERO,ボレロ
オス,BOLTON,ボルトン
オス,BOMBER,ボンバ－
オス,BONAPART,ボナパルト
オス,BOND,ボンド
オス,BUNKY,バンキー
オス,BOOBY,ブ－ビ－
オス,BOOM,ブ－ム
オス,BOOMER,ブ－マ－
オス,BORDEAUX,ボルドゥ
オス,BOREAS,ボ－リアス
オス,BORGHESE,ボ－ジェ－ゼ
オス,BORIS,ボ－リス
オス,BORROW,ボロ－
オス,BOSS,ボス
オス,BOSWELL,ボスウェル
オス,BOTE,ボ－タ
オス,BOTTOMS,ボトムズ
オス,BOTWIN,ボトウィン
オス,BOULDING,ボ－ルディング
